Setting,data,seq_len,label_len,pred_len,e_layers,d_layers,factor,enc_in,dec_in,c_out,Train/val/test,Time emb,MSE,MAE,RMSE,MAPE,MSPE
2_1_default,Energy,96,48,24,2,1,3,16,16,16,3.1.1,,0.373498469591141,0.403546959161758,0.611145198345184,2.60289263725281,4639.81298828125
2_1_ETTh1, ETTh1,,,,,,,7,7,7,,,0.38136437535286,0.422080248594284,0.617547035217285,10.7240390777588,49485.42578125
2_4_48seqlen,,48,,,,,,,,,,,0.328129410743713,0.370902687311173,0.572825789451599,2.60516977310181,7200.61328125
2_4_144seqlen,,144,,,,,,,,,,,0.39981597661972,0.432574361562729,0.632310032844544,2.75188636779785,6841.072265625
2_5_24labellen,,,24,,,,,,,,,,0.345975011587143,0.389587342739105,0.588196396827698,2.61643767356873,5762.7431640625
2_5_72labellen,,,72,,,,,,,,,,0.373598605394363,0.407001256942749,0.611227154731751,2.7190854549408,7169.61181640625
2_6_12predlen,,,,12,,,,,,,,,0.268234848976135,0.342885702848434,0.517913937568665,2.373863697052,4386.54443359375
2_6_48predlen,,,,48,,,,,,,,,0.46759095788002,0.45755660533905,0.683806240558624,2.76235198974609,4657.267578125
2_6_72predlen,,,,72,,,,,,,,,0.519843995571137,0.496200680732727,0.721002101898193,3.03841876983643,5566.7802734375
2_7_1encoder,,,,,1,,,,,,,,0.36763522028923,0.408681124448776,0.606329321861267,2.61387515068054,5524.41259765625
2_7_3encoders,,,,,3,,,,,,,,0.39919725060463,0.421157836914063,0.631820559501648,2.74264812469482,5023.84521484375
2_8_2decoders,,,,,,2,,,,,,,0.371977716684341,0.405419021844864,0.609899759292603,2.73346877098084,7234.11376953125
2_8_3decoders,,,,,,3,,,,,,,0.391259282827377,0.423802375793457,0.625507235527039,2.90287446975708,10369.05859375
3_2train_1val_2test,,,,,,,,,,,2.1.2,,0.416268736124039,0.433819323778152,0.645188927650452,2.99812006950378,19738.568359375
4_1train_1val_3test,,,,,,,,,,,1.1.3,,0.463673740625381,0.457857131958008,0.680935919284821,2.84862422943115,10569.4775390625
6_2factor,,,,,,,2,,,,,,0.364762991666794,0.405049085617065,0.60395610332489,2.71601009368897,4583.70751953125
6_1factor,,,,,,,1,,,,,,0.371594965457916,0.412276953458786,0.609585881233215,2.76133680343628,4795.078125
6_5factor,,,,,,,5,,,,,,0.355547368526459,0.390955775976181,0.596277952194214,2.5095694065094,3259.9599609375
