Setting,data,seq_len,label_len,pred_len,e_layers,d_layers,factor,enc_in,dec_in,c_out,train/val/test,time emb,MSE,MAE,RMSE,MAPE,MSPE
2_1_default, Energy,96,48,24,2,1,3,16,16,16,3.1.1,,0.3766366839408874,0.4046849012374878,0.6137073040008545,2.5945067405700684,4589.5185546875
2_4_48seqlen, Energy,48,48,24,2,1,3,16,16,16,3.1.1,,0.3273400366306305,0.3713543713092804,0.572136402130127,2.593669891357422,6789.27099609375
2_4_144seqlen, Energy,144,48,24,2,1,3,16,16,16,3.1.1,,0.3872002959251404,0.4215529561042785,0.6222541928291321,2.7962327003479004,7618.10302734375
2_5_24labellen, Energy,96,24,24,2,1,3,16,16,16,3.1.1,,0.3452973365783691,0.3887324333190918,0.5876200795173645,2.634096384048462,6169.97607421875
2_5_72labellen, Energy,96,72,24,2,1,3,16,16,16,3.1.1,,0.3817214369773865,0.415279746055603,0.6178361177444458,2.74461030960083,5686.0400390625
2_6_12predlen, Energy,96,48,12,2,1,3,16,16,16,3.1.1,,0.2685112357139587,0.3427071571350097,0.5181806683540344,2.3991382122039795,4704.7626953125
2_6_48predlen, Energy,96,48,48,2,1,3,16,16,16,3.1.1,,0.4674383699893951,0.4571142196655273,0.6836946606636047,2.7065253257751465,3569.103515625
2_6_72predlen, Energy,96,48,72,2,1,3,16,16,16,3.1.1,,0.5166868567466736,0.4955114722251892,0.7188093066215515,3.058272123336792,5856.171875
2_7_1encoder, Energy,96,48,24,1,1,3,16,16,16,3.1.1,,0.3712005317211151,0.4124483168125152,0.6092622876167297,2.650462865829468,5554.23486328125
2_7_3encoders, Energy,96,48,24,3,1,3,16,16,16,3.1.1,,0.3856961131095886,0.4130825996398926,0.621044397354126,2.7412197589874268,6361.83349609375
2_8_2decoders, Energy,96,48,24,2,2,3,16,16,16,3.1.1,,0.3765906989574432,0.4065916538238525,0.6136698722839355,2.749091148376465,6882.06494140625
3_2train_1val_2test, Energy,96,48,24,2,1,3,16,16,16,2.1.2,,0.4174976348876953,0.4358788132667541,0.6461405754089355,2.9963531494140625,19218.423828125
4_1train_1val_3test, Energy,96,48,24,2,1,3,16,16,16,1.1.3,,0.4654218554496765,0.458699882030487,0.6822183132171631,2.862373113632202,10593.4833984375
6_2factor, Energy,96,48,24,2,1,2,16,16,16,3.1.1,,0.3669074177742004,0.3990264236927032,0.605728805065155,2.777878761291504,9531.5595703125
6_1factor, Energy,96,48,24,2,1,1,16,16,16,3.1.1,,0.3691101372241974,0.4129447340965271,0.6075443625450134,2.7762610912323,5001.03125
6_1factor, Energy,96,48,24,2,1,1,16,16,16,3.1.1,,0.3728804588317871,0.4137170016765594,0.6106393933296204,2.730130434036255,4918.07470703125
6_5factor, Energy,96,48,24,2,1,5,16,16,16,3.1.1,,0.3555763065814972,0.3922125101089477,0.5963022112846375,2.5591611862182617,3748.6220703125
