Model, MSE, MAE, RMSE, MAPE, MSPE,Seq_len,Label_len,Pred_len,Enc,Dec,Train/val/test,Time emb
2_1_default, 0.3848399221897125, 0.4217773377895355, 0.6203546524047852, 2.654405355453491, 3800.140869140625,96,48,24,2,1,,Day of year
2_3_seasons, 0.3882569670677185, 0.4266478717327118, 0.6231026649475098, 2.761197090148926,4659.101563,,,,,,,Season
2_4_48seqlen, 0.3276829719543457, 0.3706212341785431, 0.5724359750747681, 2.6163430213928223,7528.361816,48,,,,,,
2_4_144seqlen, 0.38706228137016296,0.422737718, 0.6221432685852051, 2.7590482234954834,7323.606934,144,,,,,,
2_5_24labellen, 0.3438900411128998, 0.38809794187545776, 0.5864213705062866, 2.613584518432617,5739.771484,,24,,,,,
2_5_72labellen, 0.3737781047821045, 0.4082108736038208, 0.6113739609718323, 2.7963883876800537,8652.220703,,72,,,,,
2_6_12predlen, 0.2692645490169525, 0.34286534786224365, 0.5189070701599121, 2.3745267391204834,4343.537598,,,12,,,,
2_6_48predlen, 0.4605574607849121, 0.45262041687965393, 0.6786438226699829, 2.7330214977264404,4751.885742,,,48,,,,
2_6_72predlen, 0.5208191275596619, 0.49616795778274536, 0.7216780185699463, 3.045170545578003,6101.578613,,,72,,,,
2_7_1encoder, 0.3786263167858124, 0.4155590832233429, 0.6153261661529541, 2.683953285217285,5969.015137,,,,1,,,
2_7_3encoders, 0.38348931074142456, 0.41463664174079895, 0.6192651391029358, 2.5725479125976562, 3475.507568359375,,,,3,,,
2_8_2decoders, 0.3677179515361786, 0.4039347469806671, 0.6063975095748901, 2.7528719902038574,7011.757324,,,,,2,,
2_8_3decoders, 0.3903954327106476, 0.42429035902023315, 0.6248162984848022, 2.916080951690674,10327.72559,,,,,3,,
3_2train_1val_2test, 0.41848045587539673, 0.4377192258834839, 0.6469006538391113, 3.0077314376831055,19662.54102,,,,,,2.1.2,
4_1train_1val_3test, 0.4617595672607422, 0.46042776107788086, 0.6795289516448975, 2.8717288970947266,10482.91309,,,,,,1.1.3,
